circuitId,country,name,lat,lng,alt,location,date,time,year,locationModified,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,description,icon,stations
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,3/10/1996,\N,1996,Melbourne%20Australia,25.1,11.1,17.6,25.1,11.1,17.6,11.8,71.8,0.003,100,4.17,rain,,,,25.9,158.8,1020.9,8,18.3,,,,,Rain,Clear conditions throughout the day with morning rain.,rain,"94,860,099,999,948,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,3/9/1997,\N,1997,Melbourne%20Australia,18.6,11.6,15.2,18.6,11.6,15.2,4.8,50.3,0,0,0,,,,,31.3,175.4,1019.5,67.6,20.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,3/8/1998,\N,1998,Melbourne%20Australia,21.4,8.4,14.4,21.4,6.5,14.2,7.5,66,0,0,0,,,,,26.2,170.9,1023.4,3.4,19.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,3/7/1999 0:00,\N,1999,Melbourne%20Australia,19.1,14.1,16.5,19.1,14.1,16.5,10.2,68.4,0,0,0,,,,,25.9,201.7,1020.1,72.9,18,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,3/12/2000 0:00,\N,2000,Melbourne%20Australia,28.6,16.1,21.8,28.9,16.1,21.9,16.1,71.7,0,0,0,,,,,19.9,186.9,1013.8,67.7,17.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94,866,099,999,958,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,3/4/2001,\N,2001,Melbourne%20Australia,24.4,17.1,20.1,24.4,17.1,20.1,15.9,77.2,0.106,100,4.17,rain,,,,25.9,201.9,1018,81.3,14.1,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,3/3/2002,\N,2002,Melbourne%20Australia,18.6,12.1,15.3,18.6,12.1,15.3,11.9,80.6,1.038,100,12.5,rain,,,,25.1,187.2,1019.3,94.2,15.1,,,,,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,3/9/2003,\N,2003,Melbourne%20Australia,19.3,14.1,16.5,19.3,14.1,16.5,13.5,82.9,5.068,100,12.5,rain,,,,31.3,189.8,1020,86.5,10.4,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"9,489,809,999,995,870,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,3/7/2004,\N,2004,Melbourne%20Australia,17.3,13.1,15.1,17.3,13.1,15.1,11.9,81.6,0.669,100,4.17,rain,,,,26.9,185,1008.1,91.3,11.7,,,,,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,3/6/2005,14:00:00,2005,Melbourne%20Australia,17.4,7.7,13.1,17.4,4.7,12.4,7.4,69.4,0,0,0,,,,,27.6,260.5,1022,84.1,16.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
