weatherId,country,location,date,time,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,description,icon,stations
1,Australia,Melbourne,3/10/1996,\N,25.1,11.1,17.6,25.1,11.1,17.6,11.8,71.8,0.003,100.0,4.17,rain,,,,25.9,158.8,1020.9,8.0,18.3,,,,,Rain,Clear conditions throughout the day with morning rain.,rain,"94,860,099,999,948,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2,Australia,Melbourne,3/9/1997,\N,18.6,11.6,15.2,18.6,11.6,15.2,4.8,50.3,0.0,0.0,0.0,,,,,31.3,175.4,1019.5,67.6,20.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3,Australia,Melbourne,3/8/1998,\N,21.4,8.4,14.4,21.4,6.5,14.2,7.5,66.0,0.0,0.0,0.0,,,,,26.2,170.9,1023.4,3.4,19.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
4,Australia,Melbourne,3/7/1999,\N,19.1,14.1,16.5,19.1,14.1,16.5,10.2,68.4,0.0,0.0,0.0,,,,,25.9,201.7,1020.1,72.9,18.0,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
5,Australia,Melbourne,3/12/2000,\N,28.6,16.1,21.8,28.9,16.1,21.9,16.1,71.7,0.0,0.0,0.0,,,,,19.9,186.9,1013.8,67.7,17.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94,866,099,999,958,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
6,Australia,Melbourne,3/4/2001,\N,24.4,17.1,20.1,24.4,17.1,20.1,15.9,77.2,0.106,100.0,4.17,rain,,,,25.9,201.9,1018.0,81.3,14.1,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
7,Australia,Melbourne,3/3/2002,\N,18.6,12.1,15.3,18.6,12.1,15.3,11.9,80.6,1.038,100.0,12.5,rain,,,,25.1,187.2,1019.3,94.2,15.1,,,,,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
8,Australia,Melbourne,3/9/2003,\N,19.3,14.1,16.5,19.3,14.1,16.5,13.5,82.9,5.068,100.0,12.5,rain,,,,31.3,189.8,1020.0,86.5,10.4,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"9,489,809,999,995,870,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
9,Australia,Melbourne,3/7/2004,\N,17.3,13.1,15.1,17.3,13.1,15.1,11.9,81.6,0.669,100.0,4.17,rain,,,,26.9,185.0,1008.1,91.3,11.7,,,,,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
10,Australia,Melbourne,3/6/2005,14:00:00,17.4,7.7,13.1,17.4,4.7,12.4,7.4,69.4,0.0,0.0,0.0,,,,,27.6,260.5,1022.0,84.1,16.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
11,Australia,Melbourne,4/2/2006,14:00:00,16.3,9.3,13.0,16.3,7.3,12.8,5.1,59.7,0.116,100.0,8.33,rain,,,,30.3,191.9,1015.6,77.9,16.6,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"9,587,409,999,994,860,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
12,Australia,Melbourne,3/18/2007,3:00:00,21.1,8.5,15.3,21.1,8.5,15.3,8.5,65.6,0.0,0.0,0.0,,,,,20.0,156.4,1020.4,54.5,17.0,,,,,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"9,587,409,999,994,860,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
13,Australia,Melbourne,3/16/2008,4:30:00,39.3,17.8,27.3,36.5,17.8,26.3,8.9,39.1,0.0,0.0,0.0,,,,,40.3,349.9,1017.0,13.7,14.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
14,Australia,Melbourne,3/29/2009,6:00:00,24.8,8.4,16.8,24.8,7.6,16.7,5.7,50.7,0.0,0.0,0.0,,,,,23.0,206.5,1021.8,7.0,17.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"958,740,999,999,486,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
15,Australia,Melbourne,3/28/2010,6:00:00,26.4,17.1,21.3,26.4,17.1,21.3,13.0,61.5,0.476,100.0,8.33,rain,,,42.5,38.3,359.6,1012.1,63.7,15.8,74.7,6.5,3.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YMAV,95874099999,94866099999,94895599999,95866099999,94865099999,YMML,94864099999,94870099999"
16,Australia,Melbourne,3/27/2011,6:00:00,19.0,12.7,14.8,19.0,12.7,14.8,11.2,79.7,0.17,100.0,8.33,rain,,,,18.4,185.1,1026.3,79.2,16.4,218.9,18.9,8.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"YMAV,95874099999,94866099999,94895599999,95866099999,94865099999,YMML,94864099999,94870099999"
17,Australia,Melbourne,3/18/2012,6:00:00,20.9,10.4,16.2,20.9,10.4,16.2,11.9,77.2,0.1,100.0,4.17,rain,,,,22.5,174.2,1023.9,53.9,17.1,248.6,21.3,8.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"YMAV,95874099999,94866099999,95867099999,94895599999,94865099999,YMML,94864099999,94870099999"
18,Australia,Melbourne,3/17/2013,6:00:00,17.0,10.4,13.5,17.0,10.4,13.5,7.4,68.0,8.655,100.0,12.5,rain,,,50.0,35.3,193.9,1022.6,79.7,15.4,257.2,22.3,9.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YMAV,95874099999,94866099999,95867099999,94895599999,95866099999,94865099999,YMML,94864099999,94870099999"
19,Australia,Melbourne,3/16/2014,6:00:00,19.6,11.9,15.2,19.6,11.9,15.2,6.7,58.8,0.406,100.0,8.33,rain,,,,36.8,299.2,1005.8,58.3,12.2,139.5,12.1,7.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"948,980,999,999,587,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
20,Australia,Melbourne,3/15/2015,5:00:00,18.7,13.7,15.6,18.7,13.7,15.6,9.0,65.7,1.925,100.0,8.33,rain,0.0,0.0,42.1,31.2,179.0,1016.5,66.6,11.3,228.6,19.8,9.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"958,740,999,999,486,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
