qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7116,967,828,15,9,21,1:13.623,\N,\N
7117,967,831,15,12,22,1:13.681,\N,\N
7118,968,1,131,44,1,1:39.487,1:39.382,1:38.755
7119,968,3,131,6,2,1:40.511,1:39.490,1:39.058
7120,968,817,9,3,3,1:41.002,1:40.429,1:39.589
7121,968,8,6,7,4,1:40.338,1:39.629,1:39.604
7122,968,20,6,5,5,1:40.341,1:40.034,1:39.661
7123,968,830,9,33,6,1:40.424,1:39.903,1:39.818
7124,968,807,10,27,7,1:41.000,1:40.709,1:40.501
7125,968,815,10,11,8,1:40.864,1:40.743,1:40.519
7126,968,4,1,14,9,1:41.616,1:41.044,1:41.106
7127,968,13,3,19,10,1:41.157,1:40.858,1:41.213
7128,968,822,3,77,11,1:41.192,1:41.084,\N
7129,968,18,1,22,12,1:41.158,1:41.272,\N
7130,968,821,210,21,13,1:41.639,1:41.480,\N
7131,968,154,210,8,14,1:41.467,1:41.564,\N
7132,968,835,4,30,15,1:41.775,1:41.820,\N
7133,968,836,209,94,16,1:41.886,1:41.995,\N
7134,968,826,5,26,17,1:42.003,\N,\N
7135,968,825,4,20,18,1:42.142,\N,\N
7136,968,831,15,12,19,1:42.247,\N,\N
7137,968,839,209,31,20,1:42.286,\N,\N
7138,968,832,5,55,21,1:42.393,\N,\N
7139,968,828,15,9,22,1:42.637,\N,\N
7140,969,1,131,44,1,1:24.191,1:23.251,1:22.188
7141,969,20,6,5,2,1:25.210,1:23.401,1:22.456
7142,969,822,131,77,3,1:24.514,1:23.215,1:22.481
7143,969,8,6,7,4,1:24.352,1:23.376,1:23.033
7144,969,830,9,33,5,1:24.482,1:24.092,1:23.485
7145,969,154,210,8,6,1:25.419,1:24.718,1:24.074
7146,969,13,3,19,7,1:25.099,1:24.597,1:24.443
7147,969,832,5,55,8,1:25.542,1:24.997,1:24.487
7148,969,826,5,26,9,1:25.970,1:24.864,1:24.512
7149,969,817,9,3,10,1:25.383,1:23.989,\N
7150,969,815,10,11,11,1:25.064,1:25.081,\N
7151,969,807,4,27,12,1:24.975,1:25.091,\N
7152,969,4,1,14,13,1:25.872,1:25.425,\N
7153,969,839,10,31,14,1:26.009,1:25.568,\N
7154,969,828,15,9,15,1:26.236,1:26.465,\N
7155,969,841,15,36,16,1:26.419,\N,\N
7156,969,825,210,20,17,1:26.847,\N,\N
7157,969,838,1,2,18,1:26.858,\N,\N
7158,969,840,3,18,19,1:27.143,\N,\N
7159,969,835,4,30,20,1:28.244,\N,\N
7160,970,1,131,44,1,1:33.333,1:32.406,1:31.678
7161,970,20,6,5,2,1:33.078,1:32.391,1:31.864
7162,970,822,131,77,3,1:33.684,1:32.552,1:31.865
7163,970,8,6,7,4,1:33.341,1:32.181,1:32.140
7164,970,817,9,3,5,1:34.041,1:33.546,1:33.033
7165,970,13,3,19,6,1:34.205,1:33.759,1:33.507
7166,970,807,4,27,7,1:34.453,1:33.636,1:33.580
7167,970,815,10,11,8,1:34.657,1:33.920,1:33.706
7168,970,826,5,26,9,1:34.440,1:34.034,1:33.719
7169,970,840,3,18,10,1:33.986,1:34.090,1:34.220
7170,970,832,5,55,11,1:34.567,1:34.150,\N
7171,970,825,210,20,12,1:34.942,1:34.164,\N
7172,970,4,1,14,13,1:34.499,1:34.372,\N
7173,970,828,15,9,14,1:34.892,1:35.046,\N
7174,970,841,15,36,15,1:34.963,\N,\N
7175,970,838,1,2,16,1:35.023,\N,\N
7176,970,154,210,8,17,1:35.223,\N,\N
7177,970,835,4,30,18,1:35.279,\N,\N
7178,970,830,9,33,19,1:35.433,\N,\N
7179,970,839,10,31,20,1:35.496,\N,\N
7180,971,822,131,77,1,1:31.041,1:29.555,1:28.769
7181,971,1,131,44,2,1:30.814,1:29.535,1:28.792
7182,971,20,6,5,3,1:31.037,1:29.596,1:29.247
7183,971,817,9,3,4,1:31.667,1:30.497,1:29.545
7184,971,8,6,7,5,1:30.988,1:29.843,1:29.567
7185,971,830,9,33,6,1:30.904,1:30.307,1:29.687
7186,971,807,4,27,7,1:31.057,1:30.169,1:29.842
7187,971,13,3,19,8,1:31.373,1:30.677,1:30.074
7188,971,154,210,8,9,1:31.691,1:30.857,1:30.763
7189,971,835,4,30,10,1:31.458,1:30.899,1:31.074
7190,971,826,5,26,11,1:31.531,1:30.923,\N
7191,971,840,3,18,12,1:31.748,1:31.168,\N
7192,971,836,15,94,13,1:31.995,1:31.414,\N
7193,971,839,10,31,14,1:31.774,1:31.684,\N
7194,971,4,1,14,15,1:32.054,\N,\N
7195,971,832,5,55,16,1:32.118,\N,\N
7196,971,838,1,2,17,1:32.313,\N,\N
7197,971,815,10,11,18,1:32.318,\N,\N
7198,971,828,15,9,19,1:32.543,\N,\N
7199,971,825,210,20,20,1:32.900,\N,\N
7200,972,20,6,5,1,1:34.493,1:34.038,1:33.194
7201,972,8,6,7,2,1:34.953,1:33.663,1:33.253
7202,972,822,131,77,3,1:34.041,1:33.264,1:33.289
7203,972,1,131,44,4,1:34.409,1:33.760,1:33.767
7204,972,817,9,3,5,1:35.560,1:35.483,1:34.905
7205,972,13,3,19,6,1:35.828,1:35.049,1:35.110
7206,972,830,9,33,7,1:35.301,1:35.221,1:35.161
7207,972,807,4,27,8,1:35.507,1:35.328,1:35.285
7208,972,815,10,11,9,1:36.185,1:35.513,1:35.337
7209,972,839,10,31,10,1:35.372,1:35.729,1:35.430
7210,972,832,5,55,11,1:35.827,1:35.948,\N
7211,972,840,3,18,12,1:36.279,1:35.964,\N
7212,972,826,5,26,13,1:35.984,1:35.968,\N
7213,972,825,210,20,14,1:36.408,1:36.017,\N
7214,972,4,1,14,15,1:36.353,1:36.660,\N
7215,972,835,4,30,16,1:36.462,\N,\N
7216,972,838,1,2,17,1:37.070,\N,\N
7217,972,836,15,94,18,1:37.332,\N,\N
7218,972,828,15,9,19,1:37.507,\N,\N
7219,972,154,210,8,20,1:37.620,\N,\N
7220,973,1,131,44,1,1:20.511,1:20.210,1:19.149
7221,973,20,6,5,2,1:20.939,1:20.295,1:19.200
7222,973,822,131,77,3,1:20.991,1:20.300,1:19.373
7223,973,8,6,7,4,1:20.742,1:20.621,1:19.439
7224,973,830,9,33,5,1:21.430,1:20.722,1:19.706
7225,973,817,9,3,6,1:21.704,1:20.855,1:20.175
7226,973,4,1,14,7,1:22.015,1:21.251,1:21.048
7227,973,815,10,11,8,1:21.998,1:21.239,1:21.070
7228,973,13,3,19,9,1:22.138,1:21.222,1:21.232
7229,973,839,10,31,10,1:21.901,1:21.148,1:21.272
7230,973,825,210,20,11,1:21.945,1:21.329,\N
7231,973,832,5,55,12,1:21.941,1:21.371,\N
7232,973,807,4,27,13,1:22.091,1:21.397,\N
7233,973,154,210,8,14,1:21.822,1:21.517,\N
7234,973,836,15,94,15,1:22.327,1:21.803,\N
7235,973,828,15,9,16,1:22.332,\N,\N
7236,973,835,4,30,17,1:22.401,\N,\N
7237,973,840,3,18,18,1:22.411,\N,\N
7238,973,838,1,2,19,1:22.532,\N,\N
7239,973,826,5,26,20,1:22.746,\N,\N
7240,974,8,6,7,1,1:13.117,1:12.231,1:12.178
7241,974,20,6,5,2,1:13.090,1:12.449,1:12.221
7242,974,822,131,77,3,1:13.325,1:12.901,1:12.223
7243,974,830,9,33,4,1:13.078,1:12.697,1:12.496
7244,974,817,9,3,5,1:13.219,1:13.011,1:12.998
7245,974,832,5,55,6,1:13.526,1:13.397,1:13.162
7246,974,815,10,11,7,1:13.530,1:13.430,1:13.329
7247,974,154,210,8,8,1:13.786,1:13.203,1:13.349
7248,974,18,1,22,9,1:13.723,1:13.453,1:13.613
7249,974,838,1,2,10,1:13.476,1:13.249,\N
7250,974,826,5,26,11,1:13.899,1:13.516,\N
7251,974,807,4,27,12,1:13.787,1:13.628,\N
7252,974,825,210,20,13,1:13.531,1:13.959,\N
7253,974,1,131,44,14,1:13.640,1:14.106,\N
7254,974,13,3,19,15,1:13.796,1:20.529,\N
7255,974,839,10,31,16,1:14.101,\N,\N
7256,974,835,4,30,17,1:14.696,\N,\N
7257,974,840,3,18,18,1:14.893,\N,\N
