raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
788,1956,5,55,French Grand Prix,1956-07-01,\N,http://en.wikipedia.org/wiki/1956_French_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
789,1956,6,9,British Grand Prix,1956-07-14,\N,http://en.wikipedia.org/wiki/1956_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
790,1956,7,20,German Grand Prix,1956-08-05,\N,http://en.wikipedia.org/wiki/1956_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
791,1956,8,14,Italian Grand Prix,1956-09-02,\N,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
792,1955,1,25,Argentine Grand Prix,1955-01-16,\N,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
793,1955,2,6,Monaco Grand Prix,1955-05-22,\N,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
794,1955,3,19,Indianapolis 500,1955-05-30,\N,http://en.wikipedia.org/wiki/1955_Indianapolis_500,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
795,1955,4,13,Belgian Grand Prix,1955-06-05,\N,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
796,1955,5,39,Dutch Grand Prix,1955-06-19,\N,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
797,1955,6,58,British Grand Prix,1955-07-16,\N,http://en.wikipedia.org/wiki/1955_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
798,1955,7,14,Italian Grand Prix,1955-09-11,\N,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
799,1954,1,25,Argentine Grand Prix,1954-01-17,\N,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
800,1954,2,19,Indianapolis 500,1954-05-31,\N,http://en.wikipedia.org/wiki/1954_Indianapolis_500,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
801,1954,3,13,Belgian Grand Prix,1954-06-20,\N,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
802,1954,4,55,French Grand Prix,1954-07-04,\N,http://en.wikipedia.org/wiki/1954_French_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
803,1954,5,9,British Grand Prix,1954-07-17,\N,http://en.wikipedia.org/wiki/1954_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
804,1954,6,20,German Grand Prix,1954-08-01,\N,http://en.wikipedia.org/wiki/1954_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
805,1954,7,66,Swiss Grand Prix,1954-08-22,\N,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
806,1954,8,14,Italian Grand Prix,1954-09-05,\N,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
807,1954,9,67,Spanish Grand Prix,1954-10-24,\N,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
808,1953,1,25,Argentine Grand Prix,1953-01-18,\N,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
809,1953,2,19,Indianapolis 500,1953-05-30,\N,http://en.wikipedia.org/wiki/1953_Indianapolis_500,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
810,1953,3,39,Dutch Grand Prix,1953-06-07,\N,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
811,1953,4,13,Belgian Grand Prix,1953-06-21,\N,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
812,1953,5,55,French Grand Prix,1953-07-05,\N,http://en.wikipedia.org/wiki/1953_French_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
813,1953,6,9,British Grand Prix,1953-07-18,\N,http://en.wikipedia.org/wiki/1953_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
815,1953,8,66,Swiss Grand Prix,1953-08-23,\N,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
816,1953,9,14,Italian Grand Prix,1953-09-13,\N,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
817,1952,1,66,Swiss Grand Prix,1952-05-18,\N,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
818,1952,2,19,Indianapolis 500,1952-05-30,\N,http://en.wikipedia.org/wiki/1952_Indianapolis_500,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
819,1952,3,13,Belgian Grand Prix,1952-06-22,\N,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
820,1952,4,53,French Grand Prix,1952-07-06,\N,http://en.wikipedia.org/wiki/1952_French_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
821,1952,5,9,British Grand Prix,1952-07-19,\N,http://en.wikipedia.org/wiki/1952_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
822,1952,6,20,German Grand Prix,1952-08-03,\N,http://en.wikipedia.org/wiki/1952_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
823,1952,7,39,Dutch Grand Prix,1952-08-17,\N,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
824,1952,8,14,Italian Grand Prix,1952-09-07,\N,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
825,1951,1,66,Swiss Grand Prix,1951-05-27,\N,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
