resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
18480,764,574,169,16,15,\N,R,16,0.0,5,\N,\N,\N,\N,\N,\N,25
18481,764,502,32,11,12,\N,R,17,0.0,2,\N,\N,\N,\N,\N,\N,8
18482,764,575,125,18,13,\N,R,18,0.0,0,\N,\N,\N,\N,\N,\N,3
18483,764,576,105,22,0,\N,W,19,0.0,0,\N,\N,\N,\N,\N,\N,54
18484,765,475,87,14,7,1,1,1,8.0,80,2:19:33.7,8373700,\N,\N,\N,\N,1
18485,765,577,6,16,5,2,2,2,6.0,80,+2.7,8376400,\N,\N,\N,\N,1
18486,765,578,6,20,2,3,3,3,4.0,80,+12.6,8386300,\N,\N,\N,\N,1
18487,765,579,105,2,1,4,4,4,4.0,80,+53.0,8426700,\N,\N,\N,\N,1
18488,765,554,105,4,4,5,5,5,2.0,78,\N,\N,\N,\N,\N,\N,12
18489,765,501,105,8,8,6,6,6,0.0,77,\N,\N,\N,\N,\N,\N,13
18490,765,496,105,6,6,7,7,7,0.0,76,\N,\N,\N,\N,\N,\N,14
18491,765,580,105,10,9,8,8,8,0.0,75,\N,\N,\N,\N,\N,\N,15
18492,765,547,105,12,10,9,9,9,0.0,71,\N,\N,\N,\N,\N,\N,19
18493,765,581,6,18,3,\N,R,10,0.0,0,\N,\N,\N,\N,\N,\N,86
18494,766,427,87,20,5,1,1,1,8.0,100,2:52:27.9,10347900,\N,\N,\N,\N,1
18495,766,577,6,34,10,2,2,2,6.0,100,+20.2,10368100,\N,\N,\N,\N,1
18496,766,581,6,36,9,3,3,3,4.0,100,+38.8,10386700,\N,\N,\N,\N,1
18497,766,356,87,16,3,4,4,4,3.0,97,\N,\N,\N,\N,\N,\N,13
18498,766,501,66,8,12,5,5,5,2.0,91,\N,\N,\N,\N,\N,\N,19
18499,766,477,32,24,13,6,6,6,0.0,87,\N,\N,\N,\N,\N,\N,53
18500,766,476,6,40,11,\N,R,7,0.0,91,\N,\N,\N,\N,\N,\N,5
18501,766,347,105,58,16,\N,R,8,0.0,71,\N,\N,\N,\N,\N,\N,3
18502,766,289,32,26,15,\N,R,9,0.0,69,\N,\N,\N,\N,\N,\N,86
18503,766,456,87,18,4,\N,R,10,0.0,56,\N,\N,\N,\N,\N,\N,6
18504,766,578,6,38,6,\N,R,11,1.0,47,\N,\N,\N,\N,\N,\N,48
18505,766,475,118,28,8,\N,R,12,0.0,38,\N,\N,\N,\N,\N,\N,5
18506,766,554,66,6,2,\N,R,13,0.0,29,\N,\N,\N,\N,\N,\N,23
18507,766,483,105,46,14,\N,R,14,0.0,28,\N,\N,\N,\N,\N,\N,5
18508,766,479,118,30,1,\N,R,15,0.0,22,\N,\N,\N,\N,\N,\N,5
18509,766,590,118,32,7,\N,R,16,0.0,11,\N,\N,\N,\N,\N,\N,25
18510,766,541,87,22,0,\N,F,17,0.0,0,\N,\N,\N,\N,\N,\N,81
18511,766,582,105,50,0,\N,F,18,0.0,0,\N,\N,\N,\N,\N,\N,81
18512,766,583,105,48,0,\N,F,19,0.0,0,\N,\N,\N,\N,\N,\N,81
18513,766,584,125,12,0,\N,F,20,0.0,0,\N,\N,\N,\N,\N,\N,81
18514,766,585,125,14,0,\N,F,21,0.0,0,\N,\N,\N,\N,\N,\N,81
18515,766,551,105,44,0,\N,F,22,0.0,0,\N,\N,\N,\N,\N,\N,81
18516,766,553,105,56,0,\N,F,23,0.0,0,\N,\N,\N,\N,\N,\N,81
18517,766,543,127,52,0,\N,F,24,0.0,0,\N,\N,\N,\N,\N,\N,81
18518,766,586,127,54,0,\N,F,25,0.0,0,\N,\N,\N,\N,\N,\N,81
18519,766,547,105,42,0,\N,F,26,0.0,0,\N,\N,\N,\N,\N,\N,81
18520,766,541,66,10,0,\N,F,27,0.0,0,\N,\N,\N,\N,\N,\N,81
18521,766,587,125,12,0,\N,F,28,0.0,0,\N,\N,\N,\N,\N,\N,81
18522,766,588,105,50,0,\N,F,29,0.0,0,\N,\N,\N,\N,\N,\N,81
18523,766,589,105,56,0,\N,F,30,0.0,0,\N,\N,\N,\N,\N,\N,81
18524,766,580,105,4,0,\N,F,31,0.0,0,\N,\N,\N,\N,\N,\N,81
18525,767,475,118,1,2,1,1,1,9.0,75,2:04:49.2,7489200,\N,\N,\N,\N,1
18526,767,501,66,15,7,2,2,2,6.0,75,+47.9,7537100,\N,\N,\N,\N,1
18527,767,554,66,14,4,3,3,3,4.0,75,+1:42.3,7591500,\N,\N,\N,\N,1
18528,767,456,87,7,9,4,4,4,3.0,74,\N,\N,\N,\N,\N,\N,11
18529,767,578,6,5,6,5,5,5,2.0,74,\N,\N,\N,\N,\N,\N,11
18530,767,477,32,17,11,6,6,6,0.0,73,\N,\N,\N,\N,\N,\N,12
18531,767,577,6,6,12,7,7,7,0.0,73,\N,\N,\N,\N,\N,\N,12
18532,767,356,87,8,5,8,8,8,0.0,73,\N,\N,\N,\N,\N,\N,12
18533,767,427,87,9,8,9,9,9,0.0,72,\N,\N,\N,\N,\N,\N,13
18534,767,347,105,11,15,10,10,10,0.0,71,\N,\N,\N,\N,\N,\N,14
18535,767,430,95,18,17,11,11,11,0.0,69,\N,\N,\N,\N,\N,\N,16
18536,767,483,105,10,16,\N,R,12,0.0,52,\N,\N,\N,\N,\N,\N,86
18537,767,590,118,3,1,\N,R,13,0.0,46,\N,\N,\N,\N,\N,\N,5
18538,767,289,32,16,13,\N,R,14,0.0,40,\N,\N,\N,\N,\N,\N,25
18539,767,581,6,4,10,\N,R,15,0.0,32,\N,\N,\N,\N,\N,\N,6
18540,767,418,105,12,14,\N,R,16,0.0,16,\N,\N,\N,\N,\N,\N,48
18541,767,479,118,2,3,\N,R,17,0.0,13,\N,\N,\N,\N,\N,\N,86
18542,767,547,105,12,0,\N,W,18,0.0,0,\N,\N,\N,\N,\N,\N,54
18543,768,525,108,1,7,1,1,1,8.0,200,3:44:13.80,13453800,\N,\N,\N,\N,1
18544,768,591,108,99,25,2,2,2,6.0,200,+27.63,13481430,\N,\N,\N,\N,1
18545,768,533,113,9,8,3,3,3,4.0,200,+1:09.67,13523470,\N,\N,\N,\N,1
18546,768,529,108,33,9,4,4,4,4.0,200,+1:34.81,13548610,\N,\N,\N,\N,1
18547,768,509,108,2,20,5,5,5,2.0,200,+1:35.62,13549420,\N,\N,\N,\N,1
18548,768,592,107,16,3,6,6,6,0.0,200,+2:16.95,13590750,\N,\N,\N,\N,1
18549,768,528,109,26,13,7,7,7,0.0,200,+2:21.06,13594860,\N,\N,\N,\N,1
18550,768,564,107,44,19,8,8,8,0.0,200,+5:34.02,13787820,\N,\N,\N,\N,1
18551,768,513,113,61,26,9,9,9,0.0,200,+6:15.76,13829560,\N,\N,\N,\N,1
18552,768,560,113,54,33,10,10,10,0.0,200,+8:03.59,13937390,\N,\N,\N,\N,1
18553,768,558,113,52,21,11,11,11,0.0,200,+9:14.20,14008000,\N,\N,\N,\N,1
18554,768,593,113,45,6,12,12,12,0.0,200,+9:40.85,14034650,\N,\N,\N,\N,1
18555,768,594,114,19,30,13,13,13,0.0,200,+9:52.24,14046040,\N,\N,\N,\N,1
18556,768,516,113,65,17,\N,R,14,0.0,189,\N,\N,\N,\N,\N,\N,20
18557,768,539,114,59,32,\N,R,15,0.0,151,\N,\N,\N,\N,\N,\N,42
18558,768,531,114,29,12,\N,R,16,0.0,148,\N,\N,\N,\N,\N,\N,20
18559,768,565,113,77,31,\N,D,17,0.0,136,\N,\N,\N,\N,\N,\N,2
18560,768,555,113,15,14,\N,R,18,0.0,122,\N,\N,\N,\N,\N,\N,37
18561,768,523,113,83,23,\N,R,19,0.0,116,\N,\N,\N,\N,\N,\N,23
18562,768,449,110,8,11,\N,R,20,0.0,93,\N,\N,\N,\N,\N,\N,121
18563,768,595,113,43,15,\N,R,21,0.0,80,\N,\N,\N,\N,\N,\N,121
18564,768,527,114,88,18,\N,R,22,0.0,68,\N,\N,\N,\N,\N,\N,7
18565,768,512,113,7,22,\N,R,23,0.0,52,\N,\N,\N,\N,\N,\N,38
18566,768,563,120,89,29,\N,R,24,0.0,38,\N,\N,\N,\N,\N,\N,3
