year,url
1958,http://en.wikipedia.org/wiki/1958_Formula_One_season
1957,http://en.wikipedia.org/wiki/1957_Formula_One_season
1956,http://en.wikipedia.org/wiki/1956_Formula_One_season
1955,http://en.wikipedia.org/wiki/1955_Formula_One_season
1954,http://en.wikipedia.org/wiki/1954_Formula_One_season
1953,http://en.wikipedia.org/wiki/1953_Formula_One_season
1952,http://en.wikipedia.org/wiki/1952_Formula_One_season
1951,http://en.wikipedia.org/wiki/1951_Formula_One_season
1950,http://en.wikipedia.org/wiki/1950_Formula_One_season
2011,http://en.wikipedia.org/wiki/2011_Formula_One_season
2012,http://en.wikipedia.org/wiki/2012_Formula_One_season
2013,http://en.wikipedia.org/wiki/2013_Formula_One_season
2014,http://en.wikipedia.org/wiki/2014_Formula_One_season
2015,http://en.wikipedia.org/wiki/2015_Formula_One_season
2016,http://en.wikipedia.org/wiki/2016_Formula_One_season
