driverStandingsId,raceId,driverId,points,position,positionText,wins
67805,958,154,28.0,11,11,0
67806,958,807,27.0,12,12,0
67807,958,822,56.0,7,7,0
67808,958,832,30.0,10,10,0
67809,958,830,100.0,6,6,1
67810,958,835,0.0,20,20,0
67811,958,825,6.0,16,16,0
67812,958,815,47.0,8,8,0
67813,958,18,13.0,15,15,0
67814,958,831,0.0,22,22,0
67815,958,836,1.0,17,17,0
67816,958,828,0.0,21,21,0
67817,958,8,114.0,4,4,0
67818,958,837,0.0,23,23,0
67819,958,821,0.0,19,19,0
67820,958,4,24.0,13,13,0
67821,958,826,23.0,14,14,0
67822,958,838,1.0,18,18,0
67823,959,3,198.0,2,2,5
67824,959,1,217.0,1,1,6
67825,959,20,120.0,5,5,0
67826,959,817,133.0,3,3,0
67827,959,13,38.0,9,9,0
67828,959,154,28.0,12,12,0
67829,959,807,33.0,10,10,0
67830,959,822,58.0,7,7,0
67831,959,832,30.0,11,11,0
67832,959,830,115.0,6,6,1
67833,959,835,0.0,20,20,0
67834,959,825,6.0,16,16,0
67835,959,815,48.0,8,8,0
67836,959,18,17.0,15,15,0
67837,959,831,0.0,22,22,0
67838,959,836,1.0,17,17,0
67839,959,828,0.0,21,21,0
67840,959,8,122.0,4,4,0
67841,959,837,0.0,23,23,0
67842,959,821,0.0,19,19,0
67843,959,4,24.0,13,13,0
67844,959,826,23.0,14,14,0
67845,959,838,1.0,18,18,0
67846,960,3,223.0,2,2,6
67847,960,1,232.0,1,1,6
67848,960,20,128.0,4,4,0
67849,960,817,151.0,3,3,0
67850,960,13,39.0,10,10,0
67851,960,154,28.0,13,13,0
67852,960,807,45.0,9,9,0
67853,960,822,62.0,7,7,0
67854,960,832,30.0,12,12,0
67855,960,830,115.0,6,6,1
67856,960,835,0.0,20,20,0
67857,960,825,6.0,16,16,0
67858,960,815,58.0,8,8,0
67859,960,18,17.0,15,15,0
67860,960,831,0.0,22,22,0
67861,960,836,1.0,17,17,0
67862,960,828,0.0,21,21,0
67863,960,8,124.0,5,5,0
67864,960,837,0.0,23,23,0
67865,960,821,0.0,19,19,0
67866,960,4,30.0,11,11,0
67867,960,826,23.0,14,14,0
67868,960,838,1.0,18,18,0
67869,960,839,0.0,24,24,0
67870,961,3,248.0,2,2,7
67871,961,1,250.0,1,1,6
67872,961,20,143.0,4,4,0
67873,961,817,161.0,3,3,0
67874,961,13,41.0,10,10,0
67875,961,154,28.0,13,13,0
67876,961,807,46.0,9,9,0
67877,961,822,70.0,7,7,0
67878,961,832,30.0,12,12,0
67879,961,830,121.0,6,6,1
67880,961,835,0.0,20,20,0
67881,961,825,6.0,16,16,0
67882,961,815,62.0,8,8,0
67883,961,18,17.0,15,15,0
67884,961,831,0.0,22,22,0
67885,961,836,1.0,17,17,0
67886,961,828,0.0,21,21,0
67887,961,8,136.0,5,5,0
67888,961,837,0.0,23,23,0
67889,961,821,0.0,19,19,0
67890,961,4,30.0,11,11,0
67891,961,826,23.0,14,14,0
67892,961,838,1.0,18,18,0
67893,961,839,0.0,24,24,0
67894,962,3,273.0,1,1,8
67895,962,1,265.0,2,2,6
67896,962,20,153.0,4,4,0
67897,962,817,179.0,3,3,0
67898,962,13,41.0,10,10,0
67899,962,154,28.0,13,13,0
67900,962,807,46.0,9,9,0
67901,962,822,70.0,7,7,0
67902,962,832,30.0,12,12,0
67903,962,830,129.0,6,6,1
67904,962,835,0.0,20,20,0
67905,962,825,7.0,16,16,0
67906,962,815,66.0,8,8,0
67907,962,18,17.0,15,15,0
67908,962,831,0.0,22,22,0
67909,962,836,1.0,17,17,0
67910,962,828,0.0,21,21,0
67911,962,8,148.0,5,5,0
67912,962,837,0.0,23,23,0
67913,962,821,0.0,19,19,0
67914,962,4,36.0,11,11,0
67915,962,826,25.0,14,14,0
67916,962,838,1.0,18,18,0
67917,962,839,0.0,24,24,0
67918,963,3,288.0,1,1,8
67919,963,1,265.0,2,2,6
67920,963,20,153.0,5,5,0
67921,963,817,204.0,3,3,1
67922,963,13,41.0,11,11,0
67923,963,154,28.0,13,13,0
67924,963,807,50.0,9,9,0
67925,963,822,80.0,7,7,0
67926,963,832,30.0,12,12,0
67927,963,830,147.0,6,6,1
67928,963,835,1.0,17,17,0
67929,963,825,7.0,16,16,0
67930,963,815,74.0,8,8,0
67931,963,18,19.0,15,15,0
67932,963,831,0.0,22,22,0
67933,963,836,1.0,18,18,0
67934,963,828,0.0,21,21,0
67935,963,8,160.0,4,4,0
67936,963,837,0.0,23,23,0
67937,963,821,0.0,20,20,0
67938,963,4,42.0,10,10,0
67939,963,826,25.0,14,14,0
67940,963,838,1.0,19,19,0
67941,963,839,0.0,24,24,0
67942,964,3,313.0,1,1,9
67943,964,1,280.0,2,2,6
67944,964,20,165.0,6,6,0
67945,964,817,212.0,3,3,1
67946,964,13,43.0,10,10,0
67947,964,154,28.0,13,13,0
67948,964,807,54.0,9,9,0
67949,964,822,81.0,7,7,0
67950,964,832,30.0,12,12,0
67951,964,830,165.0,5,5,1
67952,964,835,1.0,17,17,0
67953,964,825,7.0,16,16,0
67954,964,815,80.0,8,8,0
67955,964,18,19.0,15,15,0
67956,964,831,0.0,22,22,0
67957,964,836,1.0,18,18,0
67958,964,828,0.0,21,21,0
67959,964,8,170.0,4,4,0
67960,964,837,0.0,23,23,0
67961,964,821,0.0,20,20,0
67962,964,4,42.0,11,11,0
67963,964,826,25.0,14,14,0
67964,964,838,1.0,19,19,0
67965,964,839,0.0,24,24,0
68061,965,839,0.0,24,24,0
68060,965,838,1.0,19,19,0
68059,965,826,25.0,14,14,0
68058,965,4,52.0,10,10,0
68056,965,837,0.0,23,23,0
68055,965,8,170.0,5,5,0
68054,965,828,0.0,21,21,0
68053,965,836,1.0,18,18,0
68051,965,18,21.0,15,15,0
68050,965,815,84.0,7,7,0
68049,965,825,7.0,16,16,0
68047,965,830,165.0,6,6,1
68046,965,832,38.0,12,12,0
68044,965,807,54.0,9,9,0
68041,965,817,227.0,3,3,1
68048,965,835,1.0,17,17,0
68052,965,831,0.0,22,22,0
68045,965,822,81.0,8,8,0
68057,965,821,0.0,20,20,0
68042,965,13,49.0,11,11,0
68043,965,154,29.0,13,13,0
68039,965,1,305.0,2,2,7
68040,965,20,177.0,4,4,0
68038,965,3,331.0,1,1,9
68080,966,837,0.0,23,23,0
68077,966,836,1.0,18,18,0
68075,966,18,21.0,15,15,0
68110,967,20,197.0,4,4,0
68109,967,1,355.0,2,2,9
68108,967,3,367.0,1,1,9
68085,966,839,0.0,24,24,0
68084,966,838,1.0,19,19,0
68083,966,826,25.0,14,14,0
68082,966,4,52.0,10,10,0
68081,966,821,0.0,20,20,0
68079,966,8,178.0,5,5,0
68078,966,828,0.0,21,21,0
68076,966,831,0.0,22,22,0
68072,966,835,1.0,17,17,0
68073,966,825,7.0,16,16,0
68074,966,815,85.0,7,7,0
68071,966,830,177.0,6,6,1
68070,966,832,38.0,12,12,0
68069,966,822,85.0,8,8,0
68068,966,807,60.0,9,9,0
68067,966,154,29.0,13,13,0
68066,966,13,51.0,11,11,0
68065,966,817,242.0,3,3,1
68064,966,20,187.0,4,4,0
68062,966,3,349.0,1,1,9
68063,966,1,330.0,2,2,8
68111,967,817,246.0,3,3,1
68112,967,13,51.0,11,11,0
68113,967,154,29.0,13,13,0
68114,967,807,66.0,9,9,0
68115,967,822,85.0,8,8,0
68116,967,832,46.0,12,12,0
68117,967,830,192.0,5,5,1
68118,967,835,1.0,18,18,0
68119,967,825,7.0,16,16,0
68120,967,815,97.0,7,7,0
68121,967,18,21.0,15,15,0
68122,967,831,2.0,17,17,0
68123,967,836,1.0,19,19,0
68124,967,828,0.0,22,22,0
68125,967,8,178.0,6,6,0
68126,967,837,0.0,24,24,0
68127,967,821,0.0,21,21,0
68128,967,4,53.0,10,10,0
68129,967,826,25.0,14,14,0
68130,967,838,1.0,20,20,0
68131,967,839,0.0,23,23,0
68132,968,3,385.0,1,1,9
68133,968,1,380.0,2,2,10
68134,968,20,212.0,4,4,0
68135,968,817,256.0,3,3,1
68136,968,13,53.0,11,11,0
68137,968,154,29.0,13,13,0
68138,968,807,72.0,9,9,0
68139,968,822,85.0,8,8,0
68140,968,832,46.0,12,12,0
68141,968,830,204.0,5,5,1
68142,968,835,1.0,18,18,0
68143,968,825,7.0,16,16,0
68144,968,815,101.0,7,7,0
68145,968,18,21.0,15,15,0
68146,968,831,2.0,17,17,0
68147,968,836,1.0,19,19,0
68148,968,828,0.0,22,22,0
68149,968,8,186.0,6,6,0
68150,968,837,0.0,24,24,0
68151,968,821,0.0,21,21,0
68152,968,4,54.0,10,10,0
68153,968,826,25.0,14,14,0
68154,968,838,1.0,20,20,0
68155,968,839,0.0,23,23,0
68161,969,13,8.0,6,6,0
68162,969,815,6.0,7,7,0
68163,969,832,4.0,8,8,0
68164,969,826,2.0,9,9,0
68165,969,839,1.0,10,10,0
68166,969,807,0.0,11,11,0
68167,969,841,0.0,12,12,0
68168,969,838,0.0,13,13,0
68169,969,4,0.0,14,14,0
68170,969,825,0.0,15,15,0
68171,969,840,0.0,16,16,0
68172,969,817,0.0,17,17,0
68173,969,828,0.0,18,18,0
68174,969,835,0.0,19,19,0
68175,969,154,0.0,20,20,0
68176,970,20,43.0,1,1,1
68177,970,1,43.0,2,2,1
68178,970,822,23.0,4,4,0
68179,970,8,22.0,5,5,0
68180,970,830,25.0,3,3,0
68181,970,13,8.0,8,8,0
68182,970,815,8.0,9,9,0
68183,970,832,10.0,7,7,0
68184,970,826,2.0,11,11,0
68185,970,839,2.0,12,12,0
68186,970,807,0.0,13,13,0
68187,970,841,0.0,15,15,0
68188,970,838,0.0,16,16,0
68189,970,4,0.0,19,19,0
68190,970,825,4.0,10,10,0
68191,970,840,0.0,20,20,0
68192,970,817,12.0,6,6,0
68193,970,828,0.0,18,18,0
68194,970,835,0.0,17,17,0
68195,970,154,0.0,14,14,0
68196,971,20,68.0,1,1,2
68197,971,1,61.0,2,2,1
68198,971,822,38.0,3,3,0
68199,971,8,34.0,4,4,0
68200,971,830,25.0,5,5,0
68201,971,13,16.0,7,7,0
68202,971,815,14.0,8,8,0
68203,971,832,10.0,9,9,0
68204,971,826,2.0,14,14,0
68205,971,839,3.0,12,12,0
68206,971,807,2.0,13,13,0
68207,971,841,0.0,16,16,0
68208,971,838,0.0,18,18,0
68209,971,4,0.0,19,19,0
68210,971,825,4.0,11,11,0
68211,971,840,0.0,21,21,0
68212,971,817,22.0,6,6,0
68213,971,828,0.0,20,20,0
68214,971,835,0.0,17,17,0
68215,971,154,4.0,10,10,0
68216,971,836,0.0,15,15,0
68217,972,20,86.0,1,1,2
68218,972,1,73.0,2,2,1
68219,972,822,63.0,3,3,1
68220,972,8,49.0,4,4,0
68221,972,830,35.0,5,5,0
68222,972,13,18.0,8,8,0
68223,972,815,22.0,7,7,0
68224,972,832,11.0,9,9,0
68225,972,826,2.0,14,14,0
68226,972,839,9.0,10,10,0
68227,972,807,6.0,11,11,0
68228,972,841,0.0,17,17,0
68229,972,838,0.0,19,19,0
68230,972,4,0.0,20,20,0
68231,972,825,4.0,13,13,0
68232,972,840,0.0,16,16,0
68233,972,817,22.0,6,6,0
68234,972,828,0.0,21,21,0
68235,972,835,0.0,18,18,0
68236,972,154,4.0,12,12,0
68237,972,836,0.0,15,15,0
68238,973,20,104.0,1,1,2
68239,973,1,98.0,2,2,2
68240,973,822,63.0,3,3,1
68241,973,8,49.0,4,4,0
68242,973,830,35.0,6,6,0
68243,973,13,18.0,9,9,0
68244,973,815,34.0,7,7,0
68245,973,832,17.0,10,10,0
68246,973,826,4.0,15,15,0
68247,973,839,19.0,8,8,0
68248,973,807,14.0,11,11,0
68249,973,841,0.0,19,19,0
68250,973,838,0.0,21,21,0
68251,973,4,0.0,18,18,0
68252,973,825,4.0,14,14,0
68253,973,840,0.0,17,17,0
68254,973,817,37.0,5,5,0
68255,973,828,0.0,16,16,0
68256,973,835,0.0,20,20,0
68257,973,154,5.0,12,12,0
68258,973,836,4.0,13,13,0
68259,974,20,129.0,1,1,3
68260,974,1,104.0,2,2,2
68261,974,822,75.0,3,3,1
68262,974,8,67.0,4,4,0
68263,974,830,45.0,6,6,0
68264,974,13,20.0,9,9,0
68265,974,815,34.0,7,7,0
68266,974,832,25.0,8,8,0
68267,974,826,4.0,15,15,0
68268,974,839,19.0,10,10,0
68269,974,807,14.0,11,11,0
68270,974,841,0.0,20,20,0
68271,974,838,0.0,21,21,0
68272,974,4,0.0,19,19,0
68273,974,825,5.0,13,13,0
68274,974,840,0.0,18,18,0
68275,974,817,52.0,5,5,0
68276,974,828,0.0,17,17,0
68277,974,835,0.0,16,16,0
68278,974,154,9.0,12,12,0
68279,974,836,4.0,14,14,0
68280,974,18,0.0,22,22,0
68281,975,20,141.0,1,1,3
68282,975,1,129.0,2,2,3
68283,975,822,93.0,3,3,1
68284,975,8,73.0,4,4,0
68285,975,830,45.0,6,6,0
68286,975,13,20.0,10,10,0
68287,975,815,44.0,7,7,0
68288,975,832,25.0,9,9,0
68289,975,826,4.0,15,15,0
68290,975,839,27.0,8,8,0
68291,975,807,18.0,11,11,0
68292,975,841,0.0,20,20,0
68293,975,838,0.0,21,21,0
