raceId,driverId,lap,position,time,milliseconds
1051,4,21,3,1:28.246,88246
1051,4,22,3,1:28.162,88162
1051,4,23,7,1:49.161,109161
1051,4,24,7,1:35.017,95017
1051,4,25,6,1:28.539,88539
1051,4,26,6,1:28.536,88536
1051,4,27,4,1:29.433,89433
1051,4,28,4,1:28.483,88483
1051,4,29,5,1:29.846,89846
1051,4,30,5,1:28.728,88728
1051,4,31,5,1:28.397,88397
1051,4,32,5,1:28.113,88113
1051,4,33,4,1:31.993,91993
1051,4,34,4,1:28.402,88402
1051,4,35,4,1:28.021,88021
1051,4,36,4,1:28.176,88176
1051,4,37,4,1:27.974,87974
1051,4,38,4,1:27.878,87878
1051,4,39,4,1:27.484,87484
1051,4,40,4,1:27.385,87385
1051,4,41,3,1:27.064,87064
1051,4,42,3,1:26.761,86761
1051,4,43,3,1:27.661,87661
1051,4,44,3,1:27.179,87179
1051,4,45,3,1:26.967,86967
1051,4,46,3,1:27.232,87232
1051,4,47,3,1:27.274,87274
1051,4,48,3,1:26.682,86682
1051,4,49,3,1:26.859,86859
1051,4,50,3,1:27.354,87354
1051,4,51,3,1:27.692,87692
1051,4,52,3,1:27.499,87499
1051,4,53,3,1:26.980,86980
1051,4,54,3,1:32.474,92474
1051,4,55,3,1:49.473,109473
1051,4,56,3,1:36.640,96640
1051,4,57,3,1:28.338,88338
1051,842,1,3,1:36.603,96603
1051,842,2,3,1:30.457,90457
1051,842,3,4,1:30.886,90886
1051,842,4,4,1:31.260,91260
1051,842,5,4,1:31.079,91079
1051,842,6,4,1:30.984,90984
1051,842,7,4,1:31.223,91223
1051,842,8,4,1:31.377,91377
1051,842,9,4,1:30.961,90961
1051,842,10,4,1:31.054,91054
1051,842,11,4,1:30.715,90715
1051,842,12,5,1:32.450,92450
1051,842,13,17,1:52.700,112700
1051,842,14,18,1:35.301,95301
1051,842,15,17,1:29.818,89818
1051,842,16,16,1:29.127,89127
1051,842,17,15,1:30.407,90407
1051,842,18,13,1:30.276,90276
1051,842,19,13,1:28.662,88662
1051,842,20,13,1:28.781,88781
1051,842,21,13,1:28.743,88743
1051,842,22,13,1:28.624,88624
