weatherId,country,location,date,time,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,description,icon,stations
6,Australia,Melbourne,2001-03-04,\N,24.4,17.1,20.1,24.4,17.1,20.1,15.9,77.2,0.106,100.0,4.17,rain,,,,25.9,201.9,1018.0,81.3,14.1,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
7,Australia,Melbourne,2002-03-03,\N,18.6,12.1,15.3,18.6,12.1,15.3,11.9,80.6,1.038,100.0,12.5,rain,,,,25.1,187.2,1019.3,94.2,15.1,,,,,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
8,Australia,Melbourne,2003-03-09,\N,19.3,14.1,16.5,19.3,14.1,16.5,13.5,82.9,5.068,100.0,12.5,rain,,,,31.3,189.8,1020.0,86.5,10.4,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"9,489,809,999,995,870,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
9,Australia,Melbourne,2004-03-07,\N,17.3,13.1,15.1,17.3,13.1,15.1,11.9,81.6,0.669,100.0,4.17,rain,,,,26.9,185.0,1008.1,91.3,11.7,,,,,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
10,Australia,Melbourne,2005-03-06,14:00:00,17.4,7.7,13.1,17.4,4.7,12.4,7.4,69.4,0.0,0.0,0.0,,,,,27.6,260.5,1022.0,84.1,16.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
11,Australia,Melbourne,2006-04-02,14:00:00,16.3,9.3,13.0,16.3,7.3,12.8,5.1,59.7,0.116,100.0,8.33,rain,,,,30.3,191.9,1015.6,77.9,16.6,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"9,587,409,999,994,860,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
12,Australia,Melbourne,2007-03-18,3:00:00,21.1,8.5,15.3,21.1,8.5,15.3,8.5,65.6,0.0,0.0,0.0,,,,,20.0,156.4,1020.4,54.5,17.0,,,,,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"9,587,409,999,994,860,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
13,Australia,Melbourne,2008-03-16,4:30:00,39.3,17.8,27.3,36.5,17.8,26.3,8.9,39.1,0.0,0.0,0.0,,,,,40.3,349.9,1017.0,13.7,14.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
14,Australia,Melbourne,2009-03-29,6:00:00,24.8,8.4,16.8,24.8,7.6,16.7,5.7,50.7,0.0,0.0,0.0,,,,,23.0,206.5,1021.8,7.0,17.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"958,740,999,999,486,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
15,Australia,Melbourne,2010-03-28,6:00:00,26.4,17.1,21.3,26.4,17.1,21.3,13.0,61.5,0.476,100.0,8.33,rain,,,42.5,38.3,359.6,1012.1,63.7,15.8,74.7,6.5,3.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YMAV,95874099999,94866099999,94895599999,95866099999,94865099999,YMML,94864099999,94870099999"
16,Australia,Melbourne,2011-03-27,6:00:00,19.0,12.7,14.8,19.0,12.7,14.8,11.2,79.7,0.17,100.0,8.33,rain,,,,18.4,185.1,1026.3,79.2,16.4,218.9,18.9,8.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"YMAV,95874099999,94866099999,94895599999,95866099999,94865099999,YMML,94864099999,94870099999"
30,Malaysia,Kuala Lumpur,2001-03-18,\N,32.6,24.6,27.8,39.4,24.6,30.6,24.1,81.4,17.7,100.0,8.33,rain,,,,18.4,320.3,1008.8,90.0,11.1,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"4,864,709,999,948,640,000,000"
31,Malaysia,Kuala Lumpur,2002-03-17,\N,34.2,25.8,29.0,40.1,25.8,33.0,24.6,78.7,0.0,0.0,0.0,,,,,15.7,207.9,1009.1,90.0,5.7,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"4,864,709,999,948,640,000,000"
32,Malaysia,Kuala Lumpur,2003-03-23,\N,34.6,25.0,29.5,40.7,25.0,33.3,24.2,75.2,0.0,0.0,0.0,,,,,18.4,68.3,1009.6,90.0,10.2,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"4,864,709,999,948,640,000,000"
33,Malaysia,Kuala Lumpur,2004-03-21,\N,34.1,25.1,29.1,43.0,25.1,33.0,24.4,76.8,0.0,0.0,0.0,,,,,20.5,303.0,1007.5,90.0,10.8,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"4,864,709,999,948,640,000,000"
34,Malaysia,Kuala Lumpur,2005-03-20,15:00:00,35.1,25.9,29.8,39.5,25.9,32.7,22.4,66.6,0.0,0.0,0.0,,,,,16.6,342.2,1008.8,90.0,7.8,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,48650099999
35,Malaysia,Kuala Lumpur,2006-03-19,15:00:00,32.1,24.1,27.8,36.9,24.1,29.9,23.0,76.1,56.2,100.0,8.33,rain,,,,22.3,14.2,1007.6,90.0,9.9,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,48650099999
36,Malaysia,Kuala Lumpur,2007-04-08,7:00:00,33.1,24.0,28.6,40.6,24.0,32.1,24.1,78.0,0.0,0.0,0.0,,,,,15.5,243.5,1009.3,90.0,11.0,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"4,864,709,999,948,650,000,000"
37,Malaysia,Kuala Lumpur,2008-03-23,7:00:00,31.9,23.2,26.6,37.7,23.2,28.6,23.4,83.9,6.277,100.0,4.17,rain,,,,13.9,277.4,1008.7,91.1,8.5,,,,,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"4,864,709,999,948,650,000,000"
38,Malaysia,Kuala Lumpur,2009-04-05,9:00:00,32.1,24.2,26.6,38.3,24.2,28.2,23.7,84.8,27.317,100.0,12.5,rain,,,,14.8,296.6,1009.1,91.5,9.8,,,,,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"4,864,709,999,948,650,000,000"
39,Malaysia,Kuala Lumpur,2010-04-04,8:00:00,34.7,25.0,29.4,43.0,25.0,33.4,24.3,75.7,0.0,0.0,0.0,,,,,15.9,134.1,1010.0,89.0,9.6,205.0,17.6,7.0,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
40,Malaysia,Kuala Lumpur,2011-04-10,8:00:00,30.0,26.0,27.4,36.2,26.0,30.9,25.3,88.6,25.673,100.0,12.5,rain,,,,10.7,251.3,1011.3,90.6,7.2,76.1,6.6,3.0,,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
47,Bahrain,Sakhir,2004-04-04,\N,30.8,23.4,25.3,30.0,23.4,25.3,18.4,67.3,,0.0,0.0,,,,,33.2,96.7,1009.7,90.5,11.3,,,,,Overcast,Cloudy skies throughout the day.,cloudy,"404,170,999,994,115,000,000,000,000,000,000"
48,Bahrain,Sakhir,2005-04-03,14:30:00,38.0,25.1,29.5,35.8,25.1,29.0,13.9,42.5,,0.0,0.0,,,,,26.3,206.0,1009.1,13.4,11.1,,,,,Clear,Clear conditions throughout the day.,clear-day,"4,115,009,999,940,410,000,000"
49,Bahrain,Sakhir,2006-03-12,14:30:00,21.2,17.7,19.1,21.2,17.7,19.1,8.1,49.2,,0.0,0.0,,,,,37.0,346.8,1014.4,4.9,11.7,,,,,Clear,Clear conditions throughout the day.,clear-day,"4,115,009,999,940,410,000,000"
50,Bahrain,Sakhir,2007-04-15,11:30:00,27.2,23.0,24.8,26.9,23.0,24.7,12.8,48.4,,0.0,0.0,,,,,31.3,8.8,1013.9,20.4,6.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"4,115,009,999,940,410,000,000"
51,Bahrain,Sakhir,2008-04-06,11:30:00,28.2,22.9,25.1,27.4,22.9,25.0,13.2,48.0,,0.0,0.0,,,,,33.2,331.1,1012.0,17.4,7.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"404,170,999,994,115,000,000,000,000,000,000"
52,Bahrain,Sakhir,2009-04-26,12:00:00,42.1,27.2,31.4,39.9,28.9,31.4,14.0,41.4,,0.0,0.0,,,,,27.5,141.3,1008.0,7.2,9.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"4,115,009,999,940,410,000,000"
53,Bahrain,Sakhir,2010-03-14,12:00:00,35.0,17.7,26.6,32.5,17.7,26.2,12.5,46.1,0.0,0.0,0.0,,,,,16.3,159.2,1013.8,2.7,10.5,293.1,25.4,10.0,,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OBBI"
78,Spain,Montmeló,2001-04-29,\N,21.1,10.6,14.7,21.1,10.6,14.7,10.4,75.9,0.0,0.0,0.0,,,,,37.1,204.6,1011.9,69.8,10.8,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
79,Spain,Montmeló,2002-04-28,\N,19.1,9.8,14.6,19.1,9.8,14.6,11.6,82.5,0.0,0.0,0.0,,,,,22.3,215.4,1013.3,73.3,8.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
80,Spain,Montmeló,2003-05-04,\N,23.4,11.1,17.9,23.4,11.1,17.9,11.6,70.1,0.0,0.0,0.0,,,,,19.7,74.3,1018.6,36.7,10.5,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
81,Spain,Montmeló,2004-05-09,\N,18.1,9.5,14.3,18.1,8.3,14.2,9.7,75.2,0.0,0.0,0.0,,,,,24.1,221.2,1012.4,43.2,13.9,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
82,Spain,Montmeló,2005-05-08,14:00:00,21.0,12.6,17.2,21.0,12.6,17.2,11.0,67.3,0.0,0.0,0.0,,,,,20.5,116.4,1013.4,28.5,14.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
83,Spain,Montmeló,2006-05-14,14:00:00,24.7,13.8,19.5,24.7,13.8,19.5,11.6,62.0,0.0,0.0,0.0,,,,,23.2,216.2,1021.0,60.3,22.2,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"818,409,999,908,181,000,000"
84,Spain,Montmeló,2007-05-13,12:00:00,26.3,11.8,19.8,26.3,11.8,19.8,11.0,59.9,0.0,0.0,0.0,,,,,20.4,210.6,1010.9,16.6,10.8,,,,,Clear,Clear conditions throughout the day.,clear-day,"81,840,999,990,818,100,000,000,000,000,000"
85,Spain,Montmeló,2008-04-27,12:00:00,20.0,8.6,15.4,20.0,8.6,15.4,8.8,67.1,0.0,0.0,0.0,,,,,18.4,110.4,1021.8,51.7,10.9,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"81,840,999,990,818,100,000,000,000,000,000"
86,Spain,Montmeló,2009-05-10,12:00:00,20.1,15.2,17.7,20.1,15.2,17.7,13.9,78.7,0.23,100.0,4.17,rain,,,,16.3,92.1,1015.5,56.9,8.7,,,,,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"81,840,999,990,818,100,000,000,000,000,000"
