circuitId,country,name,lat,lng,alt,location,date,time,year,locationModified,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,description,icon,stations
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2001-03-04,\N,2001,Melbourne%20Australia,24.4,17.1,20.1,24.4,17.1,20.1,15.9,77.2,0.106,100.0,4.17,rain,,,,25.9,201.9,1018.0,81.3,14.1,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"94,860,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2002-03-03,\N,2002,Melbourne%20Australia,18.6,12.1,15.3,18.6,12.1,15.3,11.9,80.6,1.038,100.0,12.5,rain,,,,25.1,187.2,1019.3,94.2,15.1,,,,,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2003-03-09,\N,2003,Melbourne%20Australia,19.3,14.1,16.5,19.3,14.1,16.5,13.5,82.9,5.068,100.0,12.5,rain,,,,31.3,189.8,1020.0,86.5,10.4,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"9,489,809,999,995,870,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2004-03-07,\N,2004,Melbourne%20Australia,17.3,13.1,15.1,17.3,13.1,15.1,11.9,81.6,0.669,100.0,4.17,rain,,,,26.9,185.0,1008.1,91.3,11.7,,,,,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2005-03-06,14:00:00,2005,Melbourne%20Australia,17.4,7.7,13.1,17.4,4.7,12.4,7.4,69.4,0.0,0.0,0.0,,,,,27.6,260.5,1022.0,84.1,16.1,,,,,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2006-04-02,14:00:00,2006,Melbourne%20Australia,16.3,9.3,13.0,16.3,7.3,12.8,5.1,59.7,0.116,100.0,8.33,rain,,,,30.3,191.9,1015.6,77.9,16.6,,,,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"9,587,409,999,994,860,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2007-03-18,3:00:00,2007,Melbourne%20Australia,21.1,8.5,15.3,21.1,8.5,15.3,8.5,65.6,0.0,0.0,0.0,,,,,20.0,156.4,1020.4,54.5,17.0,,,,,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"9,587,409,999,994,860,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2008-03-16,4:30:00,2008,Melbourne%20Australia,39.3,17.8,27.3,36.5,17.8,26.3,8.9,39.1,0.0,0.0,0.0,,,,,40.3,349.9,1017.0,13.7,14.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"95,874,099,999,948,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2009-03-29,6:00:00,2009,Melbourne%20Australia,24.8,8.4,16.8,24.8,7.6,16.7,5.7,50.7,0.0,0.0,0.0,,,,,23.0,206.5,1021.8,7.0,17.4,,,,,Clear,Clear conditions throughout the day.,clear-day,"958,740,999,999,486,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,Australia,Albert Park Grand Prix Circuit,-37.8497,144.968,10,Melbourne,2010-03-28,6:00:00,2010,Melbourne%20Australia,26.4,17.1,21.3,26.4,17.1,21.3,13.0,61.5,0.476,100.0,8.33,rain,,,42.5,38.3,359.6,1012.1,63.7,15.8,74.7,6.5,3.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YMAV,95874099999,94866099999,94895599999,95866099999,94865099999,YMML,94864099999,94870099999"
