constructorResultsId,raceId,constructorId,points,status
14356,860,1,40.0,\N
14357,860,9,30.0,\N
14358,860,6,10.0,\N
14359,860,15,12.0,\N
14360,860,208,6.0,\N
14361,860,5,2.0,\N
14362,860,10,1.0,\N
14363,860,131,0.0,\N
14364,860,3,0.0,\N
14365,860,206,0.0,\N
14366,860,207,0.0,\N
14367,861,6,25.0,\N
14368,861,15,18.0,\N
14369,861,1,15.0,\N
14370,861,9,12.0,\N
14371,861,208,10.0,\N
14372,861,3,8.0,\N
14373,861,10,8.0,\N
14374,861,5,4.0,\N
14375,861,131,1.0,\N
14376,861,207,0.0,\N
14377,861,206,0.0,\N
14378,861,164,0.0,\N
14379,862,131,25.0,\N
14380,862,1,33.0,\N
14381,862,9,22.0,\N
14382,862,208,8.0,\N
14383,862,3,10.0,\N
14384,862,6,2.0,\N
14385,862,15,1.0,\N
14386,862,10,0.0,\N
14387,862,5,0.0,\N
14388,862,207,0.0,\N
14389,862,206,0.0,\N
14390,862,164,0.0,\N
14391,863,9,37.0,\N
14392,863,208,33.0,\N
14393,863,131,11.0,\N
14394,863,10,8.0,\N
14395,863,6,8.0,\N
14396,863,1,4.0,\N
14397,863,15,0.0,\N
14398,863,5,0.0,\N
14399,863,207,0.0,\N
14400,863,206,0.0,\N
14401,863,164,0.0,\N
14402,863,3,0.0,\N
14403,864,3,25.0,\N
14404,864,6,18.0,\N
14405,864,208,27.0,\N
14406,864,15,10.0,\N
14407,864,9,8.0,\N
14408,864,131,6.0,\N
14409,864,1,6.0,\N
14410,864,10,1.0,\N
14411,864,5,0.0,\N
14412,864,207,0.0,\N
14413,864,206,0.0,\N
14414,864,164,0.0,\N
14415,865,9,37.0,\N
14416,865,131,18.0,\N
14417,865,6,23.0,\N
14418,865,1,10.0,\N
14419,865,10,10.0,\N
14420,865,208,2.0,\N
14421,865,3,1.0,\N
14422,865,15,0.0,\N
14423,865,5,0.0,\N
14424,865,207,0.0,\N
14425,865,206,0.0,\N
14426,865,164,0.0,\N
14427,866,1,25.0,\N
14428,866,208,22.0,\N
14429,866,15,17.0,\N
14430,866,9,18.0,\N
14431,866,6,11.0,\N
14432,866,131,8.0,\N
14433,866,10,0.0,\N
14434,866,3,0.0,\N
14435,866,5,0.0,\N
14436,866,207,0.0,\N
14437,866,206,0.0,\N
14438,866,164,0.0,\N
14439,867,6,25.0,\N
14440,867,208,18.0,\N
14441,867,131,23.0,\N
14442,867,9,12.0,\N
14443,867,10,16.0,\N
14444,867,1,4.0,\N
14445,867,15,2.0,\N
14446,867,3,1.0,\N
14447,867,5,0.0,\N
14448,867,207,0.0,\N
14449,867,206,0.0,\N
14450,867,164,0.0,\N
14451,868,9,40.0,\N
14452,868,6,30.0,\N
14453,868,208,18.0,\N
14454,868,131,6.0,\N
14455,868,1,5.0,\N
14456,868,3,2.0,\N
14457,868,15,0.0,\N
14458,868,10,0.0,\N
14459,868,5,0.0,\N
14460,868,207,0.0,\N
14461,868,206,0.0,\N
14462,868,164,0.0,\N
14463,869,6,25.0,\N
14464,869,9,14.0,\N
14465,869,1,18.0,\N
14466,869,208,15.0,\N
14467,869,15,20.0,\N
14468,869,131,7.0,\N
14469,869,10,2.0,\N
14470,869,5,0.0,\N
14471,869,3,0.0,\N
14472,869,207,0.0,\N
14473,869,206,0.0,\N
14474,869,164,0.0,\N
14475,870,1,33.0,\N
14476,870,208,33.0,\N
14477,870,9,16.0,\N
14478,870,6,12.0,\N
14479,870,3,6.0,\N
14480,870,131,1.0,\N
14481,870,10,0.0,\N
14482,870,15,0.0,\N
14483,870,5,0.0,\N
14484,870,207,0.0,\N
14485,870,206,0.0,\N
14486,870,164,0.0,\N
14487,871,1,25.0,\N
14488,871,9,26.0,\N
14489,871,208,15.0,\N
14490,871,10,13.0,\N
14491,871,6,10.0,\N
14492,871,131,6.0,\N
14493,871,5,6.0,\N
14494,871,3,0.0,\N
14495,871,15,0.0,\N
14496,871,207,0.0,\N
14497,871,206,0.0,\N
14498,871,164,0.0,\N
14499,872,1,25.0,\N
14500,872,15,20.0,\N
14501,872,6,27.0,\N
14502,872,208,10.0,\N
14503,872,131,14.0,\N
14504,872,10,4.0,\N
14505,872,3,1.0,\N
14506,872,5,0.0,\N
14507,872,207,0.0,\N
14508,872,206,0.0,\N
14509,872,164,0.0,\N
14510,872,9,0.0,\N
14511,873,9,25.0,\N
14512,873,1,18.0,\N
14513,873,6,19.0,\N
14514,873,10,12.0,\N
14515,873,131,10.0,\N
14516,873,208,14.0,\N
14517,873,5,2.0,\N
14518,873,15,1.0,\N
14519,873,206,0.0,\N
14520,873,207,0.0,\N
14524,874,9,27.0,\N
14522,873,3,0.0,\N
14523,873,164,0.0,\N
14525,874,6,18.0,\N
14526,874,15,15.0,\N
14527,874,1,22.0,\N
14528,874,208,8.0,\N
14529,874,10,6.0,\N
14530,874,3,4.0,\N
14531,874,5,1.0,\N
14532,874,131,0.0,\N
14533,874,207,0.0,\N
14534,874,206,0.0,\N
14535,874,164,0.0,\N
14536,875,9,43.0,\N
14537,875,6,27.0,\N
14538,875,208,16.0,\N
14539,875,10,8.0,\N
14540,875,5,6.0,\N
14541,875,1,1.0,\N
14542,875,15,0.0,\N
14543,875,131,0.0,\N
14544,875,3,0.0,\N
14545,875,207,0.0,\N
14546,875,206,0.0,\N
14547,875,164,0.0,\N
14548,876,9,40.0,\N
14549,876,6,26.0,\N
14550,876,1,22.0,\N
14551,876,208,8.0,\N
14552,876,10,4.0,\N
14553,876,3,1.0,\N
14554,876,131,0.0,\N
14555,876,5,0.0,\N
14556,876,15,0.0,\N
14557,876,207,0.0,\N
14558,876,206,0.0,\N
14559,876,164,0.0,\N
14560,877,208,25.0,\N
14561,877,6,24.0,\N
14562,877,9,15.0,\N
14563,877,1,12.0,\N
14564,877,3,14.0,\N
14565,877,15,8.0,\N
14566,877,10,2.0,\N
14567,877,5,1.0,\N
14568,877,131,0.0,\N
14569,877,207,0.0,\N
14570,877,206,0.0,\N
14571,877,164,0.0,\N
14572,878,1,35.0,\N
14573,878,9,18.0,\N
14574,878,6,27.0,\N
14575,878,208,14.0,\N
14576,878,10,4.0,\N
14577,878,3,3.0,\N
14578,878,15,0.0,\N
14579,878,5,0.0,\N
14580,878,131,0.0,\N
14581,878,207,0.0,\N
14582,878,206,0.0,\N
14583,878,164,0.0,\N
14584,879,1,25.0,\N
14585,879,6,33.0,\N
14586,879,9,20.0,\N
14587,879,10,10.0,\N
14588,879,131,6.0,\N
14589,879,5,4.0,\N
14590,879,15,2.0,\N
14591,879,208,1.0,\N
14592,879,207,0.0,\N
14593,879,206,0.0,\N
14594,879,164,0.0,\N
14595,879,3,0.0,\N
14596,880,208,26.0,\N
14597,880,6,30.0,\N
14598,880,9,23.0,\N
14599,880,131,10.0,\N
14600,880,10,10.0,\N
14601,880,1,2.0,\N
14602,880,5,0.0,\N
14603,880,15,0.0,\N
14604,880,3,0.0,\N
14605,880,206,0.0,\N
14606,880,207,0.0,\N
14607,881,9,43.0,\N
14608,881,131,27.0,\N
14609,881,6,10.0,\N
14610,881,208,14.0,\N
14611,881,15,4.0,\N
14612,881,1,2.0,\N
14613,881,5,1.0,\N
14614,881,3,0.0,\N
14615,881,206,0.0,\N
14616,881,207,0.0,\N
14617,881,10,0.0,\N
14618,882,6,33.0,\N
14619,882,208,20.0,\N
14620,882,131,15.0,\N
14621,882,9,12.0,\N
14622,882,1,10.0,\N
14623,882,5,6.0,\N
14624,882,10,4.0,\N
14625,882,15,1.0,\N
14626,882,3,0.0,\N
14627,882,206,0.0,\N
14628,882,207,0.0,\N
14629,883,9,31.0,\N
14630,883,208,33.0,\N
14631,883,10,12.0,\N
14632,883,131,12.0,\N
14633,883,1,9.0,\N
14634,883,6,4.0,\N
14635,883,3,0.0,\N
14636,883,15,0.0,\N
