driverStandingsId,raceId,driverId,points,position,positionText,wins
68160,969,830,10.0,5,5,0
68159,969,8,12.0,4,4,0
68158,969,822,15.0,3,3,0
68157,969,1,18.0,2,2,0
68156,969,20,25.0,1,1,1
64999,860,39,0.0,24,24,0
64997,860,807,0.0,22,22,0
64995,860,30,0.0,20,20,0
64993,860,5,0.0,18,18,0
64991,860,811,0.0,16,16,0
64989,860,10,0.0,14,14,0
64987,860,3,0.0,12,12,0
64998,860,37,0.0,23,23,0
64996,860,154,0.0,21,21,0
64994,860,808,0.0,19,19,0
64992,860,13,0.0,17,17,0
64990,860,819,0.0,15,15,0
64988,860,813,0.0,13,13,0
64986,860,818,0.0,11,11,0
64985,860,814,1.0,10,10,0
64984,860,817,2.0,9,9,0
64983,860,815,4.0,8,8,0
64982,860,8,6.0,7,7,0
64981,860,155,8.0,6,6,0
64980,860,4,10.0,5,5,0
64979,860,17,12.0,4,4,0
64978,860,1,15.0,3,3,0
64977,860,20,18.0,2,2,0
64976,860,18,25.0,1,1,1
64928,861,18,25.0,3,3,1
64929,861,20,18.0,6,6,0
64930,861,1,30.0,2,2,0
64931,861,17,24.0,4,4,0
64932,861,4,35.0,1,1,1
64933,861,155,8.0,9,9,0
64934,861,8,16.0,7,7,0
64935,861,815,22.0,5,5,0
64936,861,817,2.0,12,12,0
64937,861,814,7.0,10,10,0
64938,861,818,4.0,11,11,0
64939,861,3,0.0,15,15,0
64940,861,813,0.0,16,16,0
64941,861,10,0.0,17,17,0
64942,861,819,0.0,18,18,0
64943,861,811,8.0,8,8,0
64944,861,13,0.0,19,19,0
64945,861,5,0.0,21,21,0
64946,861,808,0.0,20,20,0
64947,861,30,1.0,14,14,0
64948,861,154,0.0,24,24,0
64949,861,807,2.0,13,13,0
64950,861,37,0.0,23,23,0
64951,861,39,0.0,22,22,0
64952,862,18,43.0,2,2,1
64953,862,20,28.0,5,5,0
64954,862,1,45.0,1,1,0
64955,862,17,36.0,4,4,0
64956,862,4,37.0,3,3,1
64957,862,155,9.0,10,10,0
64958,862,8,16.0,8,8,0
64959,862,815,22.0,7,7,0
64960,862,817,2.0,15,15,0
64961,862,814,7.0,12,12,0
64962,862,818,4.0,13,13,0
64963,862,3,25.0,6,6,1
64964,862,813,4.0,14,14,0
64965,862,10,0.0,19,19,0
64966,862,819,0.0,20,20,0
64967,862,811,14.0,9,9,0
64968,862,13,0.0,18,18,0
64969,862,5,0.0,22,22,0
64970,862,808,0.0,21,21,0
64971,862,30,1.0,17,17,0
64972,862,154,8.0,11,11,0
64973,862,807,2.0,16,16,0
64974,862,37,0.0,23,23,0
64975,862,39,0.0,24,24,0
65000,863,18,43.0,4,4,1
65001,863,20,53.0,1,1,1
65002,863,1,49.0,2,2,0
65003,863,17,48.0,3,3,0
65004,863,4,43.0,5,5,1
65005,863,155,9.0,12,12,0
65006,863,8,34.0,7,7,0
65007,863,815,22.0,9,9,0
65008,863,817,2.0,15,15,0
65009,863,814,15.0,10,10,0
65010,863,818,4.0,13,13,0
65011,863,3,35.0,6,6,1
65012,863,813,4.0,14,14,0
65013,863,10,0.0,19,19,0
65014,863,819,0.0,20,20,0
65015,863,811,14.0,11,11,0
65016,863,13,2.0,17,17,0
65017,863,5,0.0,22,22,0
65018,863,808,0.0,21,21,0
65019,863,30,2.0,18,18,0
65020,863,154,23.0,8,8,0
65021,863,807,2.0,16,16,0
65022,863,37,0.0,23,23,0
65023,863,39,0.0,24,24,0
65024,864,18,45.0,6,6,1
65025,864,20,61.0,1,1,1
65026,864,1,53.0,3,3,0
65027,864,17,48.0,5,5,0
65028,864,4,61.0,2,2,1
65029,864,155,19.0,11,11,0
65030,864,8,49.0,4,4,0
65031,864,815,22.0,10,10,0
65032,864,817,2.0,16,16,0
65033,864,814,15.0,12,12,0
65034,864,818,4.0,14,14,0
65035,864,3,41.0,7,7,1
65036,864,813,29.0,9,9,1
65037,864,10,0.0,19,19,0
65038,864,819,0.0,20,20,0
65039,864,811,14.0,13,13,0
65040,864,13,2.0,17,17,0
65041,864,5,0.0,22,22,0
65042,864,808,0.0,21,21,0
65043,864,30,2.0,18,18,0
65044,864,154,35.0,8,8,0
65045,864,807,3.0,15,15,0
65046,864,37,0.0,23,23,0
65047,864,39,0.0,24,24,0
65048,865,18,45.0,7,7,1
65049,865,20,73.0,2,2,1
65050,865,1,63.0,4,4,0
65051,865,17,73.0,3,3,1
65052,865,4,76.0,1,1,1
65053,865,155,19.0,12,12,0
65054,865,8,51.0,6,6,0
65055,865,815,22.0,10,10,0
65056,865,817,2.0,17,17,0
65057,865,814,21.0,11,11,0
65058,865,818,4.0,16,16,0
65059,865,3,59.0,5,5,1
65060,865,813,29.0,9,9,1
65061,865,10,0.0,20,20,0
65062,865,819,0.0,21,21,0
65063,865,811,15.0,13,13,0
65064,865,13,10.0,14,14,0
65065,865,5,0.0,19,19,0
65066,865,808,0.0,23,23,0
65067,865,30,2.0,18,18,0
65068,865,154,35.0,8,8,0
65069,865,807,7.0,15,15,0
65070,865,37,0.0,24,24,0
65071,865,39,0.0,22,22,0
65072,866,18,45.0,8,8,1
65073,866,20,85.0,3,3,1
65074,866,1,88.0,1,1,1
65075,866,17,79.0,4,4,1
65076,866,4,86.0,2,2,1
65077,866,155,21.0,11,11,0
65078,866,8,55.0,6,6,0
65079,866,815,37.0,9,9,0
65080,866,817,2.0,17,17,0
65081,866,814,21.0,12,12,0
65082,866,818,4.0,16,16,0
65083,866,3,67.0,5,5,1
65084,866,813,29.0,10,10,1
65085,866,10,0.0,20,20,0
65086,866,819,0.0,21,21,0
65087,866,811,15.0,13,13,0
65088,866,13,11.0,14,14,0
65089,866,5,0.0,19,19,0
65090,866,808,0.0,23,23,0
65091,866,30,2.0,18,18,0
65092,866,154,53.0,7,7,0
65093,866,807,7.0,15,15,0
65094,866,37,0.0,24,24,0
65095,866,39,0.0,22,22,0
65096,867,18,49.0,8,8,1
65097,867,20,85.0,4,4,1
65098,867,1,88.0,3,3,1
65099,867,17,91.0,2,2,1
65100,867,4,111.0,1,1,2
65101,867,155,21.0,12,12,0
65102,867,8,73.0,6,6,0
65103,867,815,39.0,9,9,0
65104,867,817,2.0,18,18,0
65105,867,814,27.0,11,11,0
65106,867,818,4.0,17,17,0
65107,867,3,75.0,5,5,1
65108,867,813,29.0,10,10,1
65109,867,10,0.0,21,21,0
65110,867,819,0.0,22,22,0
65111,867,811,16.0,15,15,0
65112,867,13,11.0,16,16,0
65113,867,5,0.0,19,19,0
65114,867,808,0.0,20,20,0
65115,867,30,17.0,13,13,0
65116,867,154,53.0,7,7,0
65117,867,807,17.0,14,14,0
65118,867,37,0.0,24,24,0
65119,867,39,0.0,23,23,0
65120,868,18,50.0,8,8,1
65121,868,20,100.0,3,3,1
65122,868,1,92.0,4,4,1
65123,868,17,116.0,2,2,2
65124,868,4,129.0,1,1,2
65125,868,155,21.0,14,14,0
65126,868,8,83.0,5,5,0
65127,868,815,39.0,9,9,0
65128,868,817,2.0,18,18,0
65129,868,814,27.0,11,11,0
65130,868,818,4.0,17,17,0
65131,868,3,75.0,6,6,1
65132,868,813,29.0,10,10,1
65133,868,10,0.0,21,21,0
65134,868,819,0.0,22,22,0
65135,868,811,18.0,15,15,0
65136,868,13,23.0,13,13,0
65137,868,5,0.0,19,19,0
65138,868,808,0.0,20,20,0
65139,868,30,23.0,12,12,0
65140,868,154,61.0,7,7,0
