resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21232,860,18,1,3,2,1,1,1,25.0,58,1:34:09.565,5649565,56,1,1:29.187,214.053,1
21233,860,20,9,1,6,2,2,2,18.0,58,+2.139,5651704,57,2,1:29.417,213.503,1
21234,860,1,1,4,1,3,3,3,15.0,58,+4.075,5653640,57,4,1:29.538,213.214,1
21235,860,17,9,2,5,4,4,4,12.0,58,+4.547,5654112,57,3,1:29.438,213.452,1
21236,860,4,6,5,12,5,5,5,10.0,58,+21.565,5671130,52,7,1:30.277,211.469,1
21237,860,155,15,14,13,6,6,6,8.0,58,+36.766,5686331,55,10,1:30.620,210.668,1
21238,860,8,208,9,17,7,7,7,6.0,58,+38.014,5687579,50,11,1:30.759,210.346,1
21239,860,815,15,15,22,8,8,8,4.0,58,+39.458,5689023,46,12,1:30.843,210.151,1
21240,860,817,5,16,10,9,9,9,2.0,58,+39.556,5689121,53,8,1:30.592,210.733,1
21241,860,814,10,11,15,10,10,10,1.0,58,+39.737,5689302,57,9,1:30.605,210.703,1
21242,860,818,5,17,11,11,11,11,0.0,58,+39.848,5689413,52,6,1:30.274,211.476,1
21243,860,3,131,8,7,12,12,12,0.0,58,+57.642,5707207,53,14,1:30.931,209.948,1
21244,860,813,3,18,8,13,13,13,0.0,57,\N,\N,53,5,1:30.254,211.523,3
21245,860,10,206,24,20,14,14,14,0.0,57,\N,\N,43,19,1:34.253,202.548,11
21246,860,819,206,25,21,15,15,15,0.0,53,\N,\N,45,20,1:35.011,200.932,15
21247,860,811,3,19,14,16,16,16,0.0,52,\N,\N,49,13,1:30.855,210.123,4
21248,860,13,6,6,16,\N,R,17,0.0,46,\N,\N,46,15,1:31.940,207.644,4
21249,860,5,207,20,18,\N,R,18,0.0,38,\N,\N,26,17,1:33.693,203.759,22
21250,860,808,207,21,19,\N,R,19,0.0,34,\N,\N,27,16,1:33.214,204.806,38
21251,860,30,131,7,4,\N,R,20,0.0,10,\N,\N,4,18,1:34.021,203.048,6
21252,860,154,208,10,3,\N,R,21,0.0,1,\N,\N,\N,0,\N,\N,4
21253,860,807,10,12,9,\N,R,22,0.0,0,\N,\N,\N,0,\N,\N,4
21254,860,37,164,22,0,\N,F,23,0.0,0,\N,\N,\N,0,\N,\N,81
21255,860,39,164,23,0,\N,F,24,0.0,0,\N,\N,\N,0,\N,\N,81
21256,861,4,6,5,8,1,1,1,25.0,56,2:44:51.812,9891812,53,7,1:41.680,196.250,1
21257,861,815,15,15,9,2,2,2,18.0,56,+2.263,9894075,54,3,1:41.021,197.531,1
21258,861,1,1,4,1,3,3,3,15.0,56,+14.591,9906403,50,6,1:41.539,196.523,1
21259,861,17,9,2,4,4,4,4,12.0,56,+17.688,9909500,52,2,1:41.017,197.539,1
21260,861,8,208,9,10,5,5,5,10.0,56,+29.456,9921268,53,1,1:40.722,198.117,1
21261,861,811,3,19,13,6,6,6,8.0,56,+37.667,9929479,55,5,1:41.404,196.785,1
21262,861,814,10,11,14,7,7,7,6.0,56,+44.412,9936224,55,10,1:41.819,195.983,1
21263,861,818,5,17,18,8,8,8,4.0,56,+46.985,9938797,55,12,1:41.922,195.785,1
21264,861,807,10,12,16,9,9,9,2.0,56,+47.892,9939704,51,15,1:42.173,195.304,1
21265,861,30,131,7,3,10,10,10,1.0,56,+49.996,9941808,53,9,1:41.760,196.096,1
21266,861,20,9,1,5,11,11,11,0.0,56,+1:15.527,9967339,50,4,1:41.342,196.905,1
21267,861,817,5,16,15,12,12,12,0.0,56,+1:16.828,9968640,54,8,1:41.756,196.104,1
21268,861,3,131,8,7,13,13,13,0.0,56,+1:18.593,9970405,51,11,1:41.863,195.898,1
21269,861,18,1,3,2,14,14,14,0.0,56,+1:19.719,9971531,50,14,1:42.100,195.443,1
21270,861,13,6,6,12,15,15,15,0.0,56,+1:37.319,9989131,56,13,1:42.051,195.537,1
21271,861,808,207,21,19,16,16,16,0.0,55,\N,\N,52,17,1:43.513,192.775,11
21272,861,10,206,24,20,17,17,17,0.0,55,\N,\N,50,20,1:44.757,190.486,11
21273,861,5,207,20,24,18,18,18,0.0,55,\N,\N,54,18,1:43.803,192.237,11
21274,861,813,3,18,11,19,19,19,0.0,54,\N,\N,51,16,1:42.237,195.181,5
21275,861,819,206,25,21,20,20,20,0.0,54,\N,\N,50,21,1:44.813,190.384,12
21276,861,39,164,23,23,21,21,21,0.0,54,\N,\N,52,22,1:45.909,188.414,12
21277,861,37,164,22,22,22,22,22,0.0,54,\N,\N,54,23,1:46.244,187.820,12
21278,861,155,15,14,17,\N,R,23,0.0,46,\N,\N,44,19,1:44.202,191.501,31
21279,861,154,208,10,6,\N,R,24,0.0,3,\N,\N,2,24,2:08.464,155.333,4
21280,862,3,131,8,1,1,1,1,25.0,56,1:36:26.929,5786929,40,8,1:40.967,194.356,1
21281,862,18,1,3,5,2,2,2,18.0,56,+20.626,5807555,56,3,1:40.422,195.411,1
21282,862,1,1,4,7,3,3,3,15.0,56,+26.012,5812941,40,6,1:40.530,195.201,1
21283,862,17,9,2,6,4,4,4,12.0,56,+27.924,5814853,52,5,1:40.490,195.279,1
21284,862,20,9,1,11,5,5,5,10.0,56,+30.483,5817412,33,7,1:40.601,195.063,1
21285,862,154,208,10,10,6,6,6,8.0,56,+31.491,5818420,35,11,1:41.120,194.062,1
21286,862,811,3,19,14,7,7,7,6.0,56,+34.597,5821526,37,16,1:41.293,193.731,1
21287,862,813,3,18,13,8,8,8,4.0,56,+35.643,5822572,36,4,1:40.482,195.294,1
21288,862,4,6,5,9,9,9,9,2.0,56,+37.256,5824185,41,12,1:41.152,194.001,1
21289,862,155,15,14,3,10,10,10,1.0,56,+38.720,5825649,40,1,1:39.960,196.314,1
21290,862,815,15,15,8,11,11,11,0.0,56,+41.066,5827995,37,10,1:41.071,194.156,1
21291,862,814,10,11,15,12,12,12,0.0,56,+42.273,5829202,40,17,1:41.498,193.339,1
21292,862,13,6,6,12,13,13,13,0.0,56,+42.779,5829708,48,14,1:41.240,193.832,1
21293,862,8,208,9,4,14,14,14,0.0,56,+50.573,5837502,43,18,1:41.794,192.777,1
21294,862,807,10,12,16,15,15,15,0.0,56,+51.213,5838142,48,9,1:40.977,194.337,1
21295,862,818,5,17,24,16,16,16,0.0,56,+51.756,5838685,48,2,1:40.019,196.198,1
21296,862,817,5,16,17,17,17,17,0.0,56,+1:03.156,5850085,40,15,1:41.251,193.811,1
21297,862,808,207,21,19,18,18,18,0.0,55,\N,\N,38,19,1:42.385,191.664,11
21298,862,10,206,24,20,19,19,19,0.0,55,\N,\N,41,21,1:42.748,190.987,11
21299,862,819,206,25,21,20,20,20,0.0,55,\N,\N,39,20,1:42.621,191.224,11
21300,862,37,164,22,22,21,21,21,0.0,55,\N,\N,54,22,1:43.610,189.398,11
21301,862,39,164,23,23,22,22,22,0.0,54,\N,\N,40,23,1:43.935,188.806,12
21302,862,5,207,20,18,23,23,23,0.0,53,\N,\N,53,13,1:41.190,193.928,13
21303,862,30,131,7,2,\N,R,24,0.0,12,\N,\N,9,24,1:44.109,188.490,61
21304,863,20,9,1,1,1,1,1,25.0,57,1:35:10.990,5710990,41,1,1:36.379,202.151,1
21305,863,8,208,9,11,2,2,2,18.0,57,+3.333,5714323,41,5,1:37.116,200.617,1
21306,863,154,208,10,7,3,3,3,15.0,57,+10.194,5721184,42,3,1:36.928,201.006,1
21307,863,17,9,2,3,4,4,4,12.0,57,+38.788,5749778,45,6,1:37.437,199.956,1
21308,863,3,131,8,5,5,5,5,10.0,57,+55.460,5766450,41,10,1:38.080,198.646,1
21309,863,814,10,11,10,6,6,6,8.0,57,+57.543,5768533,41,18,1:38.372,198.056,1
21310,863,4,6,5,9,7,7,7,6.0,57,+57.803,5768793,44,15,1:38.203,198.397,1
21311,863,1,1,4,2,8,8,8,4.0,57,+58.984,5769974,38,7,1:37.733,199.351,1
21312,863,13,6,6,14,9,9,9,2.0,57,+1:04.999,5775989,42,12,1:38.123,198.558,1
21313,863,30,131,7,22,10,10,10,1.0,57,+1:11.490,5782480,39,13,1:38.128,198.548,1
21314,863,815,15,15,8,11,11,11,0.0,57,+1:12.702,5783692,39,14,1:38.146,198.512,1
21315,863,807,10,12,13,12,12,12,0.0,57,+1:16.539,5787529,46,17,1:38.312,198.177,1
21316,863,155,15,14,12,13,13,13,0.0,57,+1:30.334,5801324,54,2,1:36.700,201.480,1
21317,863,818,5,17,17,14,14,14,0.0,57,+1:33.723,5804713,43,4,1:37.058,200.737,1
21318,863,817,5,16,6,15,15,15,0.0,56,\N,\N,42,8,1:37.903,199.005,11
21319,863,808,207,21,18,16,16,16,0.0,56,\N,\N,42,16,1:38.305,198.191,11
21320,863,5,207,20,16,17,17,17,0.0,56,\N,\N,43,19,1:38.441,197.917,11
21321,863,18,1,3,4,18,18,18,0.0,55,\N,\N,47,9,1:38.046,198.714,43
21322,863,10,206,24,23,19,19,19,0.0,55,\N,\N,46,23,1:40.323,194.204,12
21323,863,37,164,22,20,20,20,20,0.0,55,\N,\N,41,22,1:40.237,194.371,12
21324,863,39,164,23,24,21,21,21,0.0,55,\N,\N,48,20,1:39.747,195.326,12
21325,863,811,3,19,15,22,22,22,0.0,54,\N,\N,51,11,1:38.087,198.631,76
